LETTER ANALYSIS

Letter  Freq  Freq%  AvgFreq%  Diff
   A      0    0.0     8.2     8.2
   B      0    0.0     1.5     1.5
   C      0    0.0     2.8     2.8
   D      0    0.0     4.3     4.3
   E      0    0.0     12.7    12.7
   F      0    0.0     2.2     2.2
   G      0    0.0     2.0     2.0
   H      0    0.0     6.1     6.1
   I      0    0.0     7.0     7.0
   J      0    0.0     0.2     0.2
   K      5   100.0     0.8    -99.2
   L      0    0.0     4.0     4.0
   M      0    0.0     2.4     2.4
   N      0    0.0     6.7     6.7
   O      0    0.0     7.5     7.5
   P      0    0.0     1.9     1.9
   Q      0    0.0     0.1     0.1
   R      0    0.0     6.0     6.0
   S      0    0.0     6.3     6.3
   T      0    0.0     9.1     9.1
   U      0    0.0     2.8     2.8
   V      0    0.0     1.0     1.0
   W      0    0.0     2.4     2.4
   X      0    0.0     0.2     0.2
   Y      0    0.0     2.0     2.0
   Z      0    0.0     0.1     0.1
The most frequent letter is K with a percent frequency of 100.0
