LETTER ANALYSIS

Letter  Freq  Freq%  AvgFreq%  Diff
   A      0    0.0     8.2     8.2
   B     12    2.6     1.5    -1.1
   C      0    0.0     2.8     2.8
   D      6    1.3     4.3     3.0
   E     11    2.4     12.7    10.3
   F      5    1.1     2.2     1.1
   G      7    1.5     2.0     0.5
   H     14    3.1     6.1     3.0
   I     37    8.2     7.0    -1.2
   J     38    8.4     0.2    -8.2
   K     46   10.2     0.8    -9.4
   L     28    6.2     4.0    -2.2
   M      0    0.0     2.4     2.4
   N      9    2.0     6.7     4.7
   O     74   16.3     7.5    -8.8
   P     24    5.3     1.9    -3.4
   Q     25    5.5     0.1    -5.4
   R      5    1.1     6.0     4.9
   S     21    4.6     6.3     1.7
   T     19    4.2     9.1     4.9
   U      3    0.7     2.8     2.1
   V      2    0.4     1.0     0.6
   W     16    3.5     2.4    -1.1
   X     20    4.4     0.2    -4.2
   Y     13    2.9     2.0    -0.9
   Z     18    4.0     0.1    -3.9
The most frequent letter is O with a percent frequency of 16.3
