LETTER ANALYSIS

Letter  Freq  Freq%  AvgFreq%  Diff
   A      1    4.8     8.2     3.4
   B      0    0.0     1.5     1.5
   C      0    0.0     2.8     2.8
   D      1    4.8     4.3    -0.5
   E      5   23.8     12.7    -11.1
   F      0    0.0     2.2     2.2
   G      1    4.8     2.0    -2.8
   H      0    0.0     6.1     6.1
   I      0    0.0     7.0     7.0
   J      0    0.0     0.2     0.2
   K      0    0.0     0.8     0.8
   L      1    4.8     4.0    -0.8
   M      0    0.0     2.4     2.4
   N      0    0.0     6.7     6.7
   O      1    4.8     7.5     2.7
   P      0    0.0     1.9     1.9
   Q      0    0.0     0.1     0.1
   R      1    4.8     6.0     1.2
   S      0    0.0     6.3     6.3
   T      1    4.8     9.1     4.3
   U      0    0.0     2.8     2.8
   V      0    0.0     1.0     1.0
   W      0    0.0     2.4     2.4
   X      0    0.0     0.2     0.2
   Y      0    0.0     2.0     2.0
   Z      9   42.9     0.1    -42.8
The most frequent letter is Z with a percent frequency of 42.9
