LETTER ANALYSIS

Letter  Freq  Freq%  AvgFreq%  Diff
   A     66   14.3     8.2    -6.1
   B     10    2.2     1.5    -0.7
   C     12    2.6     2.8     0.2
   D     15    3.3     4.3     1.0
   E     73   15.8     12.7    -3.1
   F      4    0.9     2.2     1.3
   G      5    1.1     2.0     0.9
   H     17    3.7     6.1     2.4
   I     19    4.1     7.0     2.9
   J      1    0.2     0.2    -0.0
   K      2    0.4     0.8     0.4
   L     18    3.9     4.0     0.1
   M     20    4.3     2.4    -1.9
   N     25    5.4     6.7     1.3
   O     24    5.2     7.5     2.3
   P      9    2.0     1.9    -0.1
   Q      0    0.0     0.1     0.1
   R     28    6.1     6.0    -0.1
   S     38    8.2     6.3    -1.9
   T     37    8.0     9.1     1.1
   U     14    3.0     2.8    -0.2
   V      7    1.5     1.0    -0.5
   W      5    1.1     2.4     1.3
   X      0    0.0     0.2     0.2
   Y     12    2.6     2.0    -0.6
   Z      0    0.0     0.1     0.1
The most frequent letter is E with a percent frequency of 15.8
